epoch,Loss,Acc,model
0,0.6981,0.6389,Fold 1
1,0.5048,0.7607,Fold 1
2,0.4532,0.7909,Fold 1
3,0.4233,0.815,Fold 1
4,0.4157,0.8167,Fold 1
5,0.4161,0.8163,Fold 1
6,0.3881,0.8323,Fold 1
7,0.3496,0.8521,Fold 1
8,0.3453,0.854,Fold 1
9,0.3444,0.852,Fold 1
10,0.3359,0.8524,Fold 1
11,0.3364,0.8557,Fold 1
12,0.3316,0.857,Fold 1
13,0.3343,0.8556,Fold 1
14,0.3244,0.8593,Fold 1
15,0.328,0.8585,Fold 1
16,0.3264,0.861,Fold 1
17,0.3208,0.8614,Fold 1
18,0.3305,0.8568,Fold 1
19,0.3228,0.8597,Fold 1
20,0.3147,0.8683,Fold 1
21,0.3232,0.8633,Fold 1
22,0.3227,0.863,Fold 1
23,0.3297,0.8555,Fold 1
0,0.7097,0.6396,Fold 2
1,0.5268,0.7471,Fold 2
2,0.4794,0.7746,Fold 2
3,0.4667,0.7786,Fold 2
4,0.4561,0.7855,Fold 2
5,0.4486,0.7856,Fold 2
6,0.4331,0.7998,Fold 2
7,0.3963,0.8234,Fold 2
8,0.3789,0.831,Fold 2
9,0.3724,0.8315,Fold 2
10,0.3658,0.8369,Fold 2
11,0.3637,0.8375,Fold 2
12,0.3567,0.8412,Fold 2
13,0.363,0.8374,Fold 2
14,0.3581,0.8431,Fold 2
15,0.352,0.8394,Fold 2
16,0.3623,0.8371,Fold 2
17,0.3559,0.8424,Fold 2
18,0.3623,0.8364,Fold 2
19,0.3424,0.8474,Fold 2
20,0.3522,0.8433,Fold 2
21,0.3547,0.8436,Fold 2
22,0.3616,0.8408,Fold 2
23,0.3632,0.8362,Fold 2
0,0.7317,0.6171,Fold 3
1,0.5686,0.7177,Fold 3
2,0.5054,0.7615,Fold 3
3,0.4669,0.7854,Fold 3
4,0.4517,0.7925,Fold 3
5,0.4427,0.8011,Fold 3
6,0.4213,0.8132,Fold 3
7,0.3833,0.8317,Fold 3
8,0.3635,0.8425,Fold 3
9,0.3568,0.8466,Fold 3
10,0.3612,0.8439,Fold 3
11,0.3543,0.8492,Fold 3
12,0.3575,0.8448,Fold 3
13,0.3599,0.8438,Fold 3
14,0.352,0.8471,Fold 3
15,0.3415,0.8544,Fold 3
16,0.3448,0.8501,Fold 3
17,0.3454,0.8509,Fold 3
18,0.3461,0.8512,Fold 3
19,0.3405,0.8561,Fold 3
20,0.3463,0.8521,Fold 3
21,0.3473,0.8501,Fold 3
22,0.348,0.8467,Fold 3
23,0.3535,0.8448,Fold 3
0,0.7584,0.6123,Fold 4
1,0.6055,0.6966,Fold 4
2,0.5217,0.7511,Fold 4
3,0.4933,0.7709,Fold 4
4,0.4705,0.7858,Fold 4
5,0.4572,0.7926,Fold 4
6,0.4369,0.8062,Fold 4
7,0.404,0.8211,Fold 4
8,0.3854,0.8311,Fold 4
9,0.3874,0.8322,Fold 4
10,0.3817,0.8368,Fold 4
11,0.3758,0.8393,Fold 4
12,0.3715,0.8374,Fold 4
13,0.3707,0.8395,Fold 4
14,0.3809,0.8328,Fold 4
15,0.3648,0.8451,Fold 4
16,0.3774,0.8354,Fold 4
17,0.3762,0.8337,Fold 4
18,0.3717,0.8379,Fold 4
19,0.3675,0.8418,Fold 4
20,0.3669,0.8392,Fold 4
21,0.3756,0.8377,Fold 4
22,0.374,0.8346,Fold 4
23,0.3689,0.8401,Fold 4
0,0.7306,0.6076,Fold 5
1,0.5644,0.7168,Fold 5
2,0.5114,0.7541,Fold 5
3,0.479,0.7729,Fold 5
4,0.4597,0.7853,Fold 5
5,0.4457,0.8026,Fold 5
6,0.4365,0.8054,Fold 5
7,0.4075,0.8162,Fold 5
8,0.3898,0.8261,Fold 5
9,0.3942,0.8238,Fold 5
10,0.3725,0.8362,Fold 5
11,0.3743,0.8371,Fold 5
12,0.3652,0.8416,Fold 5
13,0.3626,0.8425,Fold 5
14,0.3681,0.8364,Fold 5
15,0.3601,0.8432,Fold 5
16,0.3637,0.839,Fold 5
17,0.3585,0.844,Fold 5
18,0.3635,0.8394,Fold 5
19,0.3593,0.8442,Fold 5
20,0.3703,0.8378,Fold 5
21,0.3603,0.8424,Fold 5
22,0.363,0.8412,Fold 5
23,0.367,0.8408,Fold 5
0,0.73,0.61,Fold 6
1,0.5626,0.7188,Fold 6
2,0.5105,0.7568,Fold 6
3,0.4725,0.7868,Fold 6
4,0.4468,0.8013,Fold 6
5,0.4468,0.8013,Fold 6
6,0.4404,0.8031,Fold 6
7,0.3954,0.8271,Fold 6
8,0.3733,0.8387,Fold 6
9,0.3891,0.8292,Fold 6
10,0.3834,0.8337,Fold 6
11,0.3775,0.8302,Fold 6
12,0.3666,0.8408,Fold 6
13,0.3682,0.8363,Fold 6
14,0.3623,0.8436,Fold 6
15,0.3547,0.8465,Fold 6
16,0.3706,0.8383,Fold 6
17,0.3598,0.8438,Fold 6
18,0.3619,0.841,Fold 6
19,0.3637,0.8432,Fold 6
20,0.3565,0.8419,Fold 6
21,0.3719,0.8401,Fold 6
22,0.3564,0.8453,Fold 6
23,0.3514,0.8503,Fold 6
0,0.6842,0.6504,Fold 7
1,0.5253,0.7536,Fold 7
2,0.4783,0.7853,Fold 7
3,0.4595,0.7911,Fold 7
4,0.4378,0.8094,Fold 7
5,0.4347,0.8052,Fold 7
6,0.4249,0.8116,Fold 7
7,0.3789,0.835,Fold 7
8,0.3745,0.8354,Fold 7
9,0.3688,0.8377,Fold 7
10,0.3499,0.8513,Fold 7
11,0.3511,0.8513,Fold 7
12,0.3584,0.8436,Fold 7
13,0.3391,0.8553,Fold 7
14,0.345,0.8503,Fold 7
15,0.3477,0.8485,Fold 7
16,0.3474,0.8501,Fold 7
17,0.3416,0.8546,Fold 7
18,0.3538,0.8482,Fold 7
19,0.3477,0.8486,Fold 7
20,0.3418,0.8496,Fold 7
21,0.3502,0.8501,Fold 7
22,0.346,0.8501,Fold 7
23,0.3466,0.851,Fold 7
0,0.7434,0.6135,Fold 8
1,0.6073,0.6918,Fold 8
2,0.5335,0.74,Fold 8
3,0.5032,0.7714,Fold 8
4,0.4869,0.7787,Fold 8
5,0.4626,0.7972,Fold 8
6,0.4466,0.7976,Fold 8
7,0.4134,0.8175,Fold 8
8,0.4026,0.8236,Fold 8
9,0.389,0.8317,Fold 8
10,0.3943,0.8255,Fold 8
11,0.388,0.8303,Fold 8
12,0.3872,0.8294,Fold 8
13,0.3788,0.8402,Fold 8
14,0.3804,0.8362,Fold 8
15,0.3672,0.8426,Fold 8
16,0.3643,0.8457,Fold 8
17,0.3725,0.8395,Fold 8
18,0.377,0.8334,Fold 8
19,0.3805,0.8349,Fold 8
20,0.3752,0.8349,Fold 8
21,0.3722,0.8419,Fold 8
22,0.3732,0.8389,Fold 8
23,0.3691,0.8351,Fold 8
0,0.701,0.6426,Fold 9
1,0.5428,0.739,Fold 9
2,0.4993,0.7702,Fold 9
3,0.4593,0.7954,Fold 9
4,0.4501,0.799,Fold 9
5,0.4351,0.8102,Fold 9
6,0.4344,0.8081,Fold 9
7,0.3899,0.8294,Fold 9
8,0.3612,0.8441,Fold 9
9,0.3707,0.8399,Fold 9
10,0.3705,0.8414,Fold 9
11,0.3587,0.8463,Fold 9
12,0.3599,0.8434,Fold 9
13,0.3599,0.8447,Fold 9
14,0.3478,0.8509,Fold 9
15,0.3493,0.8515,Fold 9
16,0.3529,0.8477,Fold 9
17,0.355,0.8471,Fold 9
18,0.3512,0.847,Fold 9
19,0.3483,0.8492,Fold 9
20,0.3411,0.8587,Fold 9
21,0.3513,0.8476,Fold 9
22,0.3497,0.8487,Fold 9
23,0.354,0.8461,Fold 9
0,0.645,0.6786,Fold 10
1,0.5074,0.7626,Fold 10
2,0.4619,0.7904,Fold 10
3,0.443,0.8058,Fold 10
4,0.4254,0.8141,Fold 10
5,0.4073,0.8214,Fold 10
6,0.4062,0.8221,Fold 10
7,0.3608,0.8489,Fold 10
8,0.3545,0.8476,Fold 10
9,0.3467,0.8523,Fold 10
10,0.3432,0.8517,Fold 10
11,0.3457,0.8546,Fold 10
12,0.3431,0.8525,Fold 10
13,0.3368,0.8588,Fold 10
14,0.3335,0.8584,Fold 10
15,0.3306,0.8579,Fold 10
16,0.3438,0.8512,Fold 10
17,0.3239,0.8681,Fold 10
18,0.3216,0.8629,Fold 10
19,0.3372,0.8558,Fold 10
20,0.338,0.8549,Fold 10
21,0.339,0.854,Fold 10
22,0.3304,0.8613,Fold 10
23,0.3358,0.854,Fold 10
